Country,CO2 per capita,Renewable %,Region
Aruba,4.68455875500885,8.8,
Afghanistan,0.203551890416193,20.0,
American Samoa,0.0020685945968309,0.4,
Antigua and Barbuda,3.30137871607066,0.9,
Burundi,0.0630278422265073,83.0,
Burkina Faso,0.272952580203561,71.4,
"Bahamas, The",4.01672292963188,1.1,
Belize,0.649810171999811,30.8,
Bermuda,5.13367001806978,0.9,
Barbados,2.69129138064169,5.5,
Bhutan,2.46723710933598,82.5,
Central African Republic,0.0692030798508995,90.9,
Comoros,0.380250015584017,39.3,
Cabo Verde,1.99541694805682,21.8,
Cayman Islands,4.74221620036038,0.0,
Djibouti,0.658255767323076,26.9,
Dominica,1.13428904917248,8.9,
Fiji,2.32602656886609,28.4,
Faroe Islands,0.0389415320711332,7.9,
"Micronesia, Fed. Sts.",0.0,2.0,
Guinea,0.270989887896504,66.6,
"Gambia, The",0.236718035858553,47.7,
Guinea-Bissau,0.169316119606997,87.4,
Equatorial Guinea,2.30723380897067,4.2,
Grenada,1.15727079110108,10.0,
Greenland,10.1621926898572,11.7,
Guam,0.0024216006780481,6.7,
Guyana,4.04339142468024,12.1,
Kiribati,0.722010592554553,41.9,
St. Kitts and Nevis,2.41281123552206,1.5,
Lao PDR,3.24790015408108,49.2,
Liberia,0.312657375531657,92.8,
St. Lucia,1.5728740749856,9.7,
Lesotho,0.372597993972294,34.9,
"Macao SAR, China",4.31167872434667,11.0,
Madagascar,0.13108603957498,83.1,
Maldives,5.30579691894388,1.2,
Marshall Islands,0.0,12.2,
Mali,0.296676063077307,71.1,
Northern Mariana Islands,0.0,0.5,
Mauritania,0.980302676347726,19.6,
Malawi,0.289167127884622,62.9,
New Caledonia,20.4852972419486,9.6,
Nauru,0.0,1.9,
Palau,78.7262796328622,0.9,
Papua New Guinea,0.569685751554247,54.6,
Puerto Rico (US),3.92324922821607,2.5,
French Polynesia,4.34163878763669,7.0,
Rwanda,0.118833523917243,79.9,
Solomon Islands,0.518522122330251,50.1,
Sierra Leone,0.133251868746003,71.6,
"Somalia, Fed. Rep.",0.0486577357458028,95.4,
Sao Tome and Principe,0.905415258169285,42.5,
Eswatini,1.10967358729101,64.7,
Seychelles,10.0310315487412,1.9,
Turks and Caicos Islands,2.13318210569939,0.8,
Chad,0.135841618750933,70.0,
Timor-Leste,0.520048638167816,11.4,
Tonga,2.02490432398469,2.3,
Tuvalu,0.0,5.2,
Uganda,0.152622807410413,90.9,
St. Vincent and the Grenadines,0.894694549516885,5.1,
British Virgin Islands,1.8633054098489,1.3,
Virgin Islands (U.S.),0.0018972991945964,5.9,
Vanuatu,0.887409518089993,25.0,
Samoa,2.10395752133457,35.9,
